,date,average_tempurature,bike_rides_daily
0,2022-01-01,11.6,592
592,2022-01-02,11.4,1248
1840,2022-01-03,1.4,832
2672,2022-01-04,-2.7,934
3606,2022-01-05,3.2,914
4520,2022-01-06,4.9,1297
5817,2022-01-07,0.7,459
6276,2022-01-08,-2.5,713
6989,2022-01-09,1.4,636
7625,2022-01-10,1.6,859
8484,2022-01-11,-5.4,683
9167,2022-01-12,-1.9,1057
10224,2022-01-13,4.0,1208
11432,2022-01-14,4.8,1091
12523,2022-01-15,-6.7,670
13193,2022-01-16,-8.0,506
13699,2022-01-17,3.9,730
14429,2022-01-18,1.8,1042
15471,2022-01-19,3.2,1374
16845,2022-01-20,5.1,830
17675,2022-01-21,-6.0,800
18475,2022-01-22,-5.9,892
19367,2022-01-23,-0.7,940
20307,2022-01-24,-0.2,1026
21333,2022-01-25,3.6,1276
22609,2022-01-26,-2.3,1149
23758,2022-01-27,-4.2,1133
24891,2022-01-28,0.1,894
25785,2022-01-29,-4.8,111
25896,2022-01-30,-7.1,295
26191,2022-01-31,-3.4,571
26762,2022-02-01,-1.7,765
27527,2022-02-02,2.3,1028
28555,2022-02-03,6.4,653
29208,2022-02-04,5.8,498
29706,2022-02-05,-2.8,831
30537,2022-02-06,-4.8,803
31340,2022-02-07,0.5,777
32117,2022-02-08,4.1,1349
33466,2022-02-09,2.8,1427
34893,2022-02-10,6.3,1558
36451,2022-02-11,8.6,1769
38220,2022-02-12,11.8,1983
40203,2022-02-13,2.8,577
40780,2022-02-14,-4.3,858
41638,2022-02-15,-4.7,1081
42719,2022-02-16,1.6,1362
44081,2022-02-17,11.6,1695
45776,2022-02-18,9.9,1262
47038,2022-02-19,0.1,803
47841,2022-02-20,-2.6,923
48764,2022-02-21,4.1,1457
50221,2022-02-22,5.6,1050
51271,2022-02-23,14.4,1823
53094,2022-02-24,1.1,1307
54401,2022-02-25,0.8,838
55239,2022-02-26,-1.1,1198
56437,2022-02-27,2.4,1066
57503,2022-02-28,0.8,1170
58673,2022-03-01,2.6,1510
60183,2022-03-02,7.7,1804
61987,2022-03-03,5.6,1449
63436,2022-03-04,-1.9,1465
64901,2022-03-05,3.1,1459
66360,2022-03-06,9.6,1659
68019,2022-03-07,18.2,1804
69823,2022-03-08,8.7,1604
71427,2022-03-09,3.2,732
72159,2022-03-10,4.0,1660
73819,2022-03-11,7.2,1960
75779,2022-03-12,5.1,460
76239,2022-03-13,-2.3,781
77020,2022-03-14,5.3,1734
78754,2022-03-15,11.6,2133
80887,2022-03-16,13.6,2269
83156,2022-03-17,8.2,1414
84570,2022-03-18,13.9,2728
87298,2022-03-19,13.1,2594
89892,2022-03-20,14.3,1910
91802,2022-03-21,10.4,2021
93823,2022-03-22,10.7,2058
95881,2022-03-23,7.2,1653
97534,2022-03-24,5.7,1412
98946,2022-03-25,9.6,2195
101141,2022-03-26,10.4,1858
102999,2022-03-27,5.9,1303
104302,2022-03-28,-1.5,1046
105348,2022-03-29,-1.2,1438
106786,2022-03-30,2.6,1657
108443,2022-03-31,9.9,1901
110344,2022-04-01,13.1,1816
112160,2022-04-02,7.2,2193
114353,2022-04-03,7.0,1035
115388,2022-04-04,7.6,1837
117225,2022-04-05,9.7,2026
119251,2022-04-06,8.6,1364
120615,2022-04-07,9.1,952
121567,2022-04-08,12.8,2553
124120,2022-04-09,11.4,1933
126053,2022-04-10,8.6,1500
127553,2022-04-11,8.8,1926
129479,2022-04-12,13.4,2380
131859,2022-04-13,15.4,2572
134431,2022-04-14,16.3,2323
136754,2022-04-15,15.7,2849
139603,2022-04-16,15.7,2333
141936,2022-04-17,8.3,1300
143236,2022-04-18,7.9,1467
144703,2022-04-19,7.6,1635
146338,2022-04-20,9.4,2344
148682,2022-04-21,10.6,2135
150817,2022-04-22,14.6,2847
153664,2022-04-23,13.3,2927
156591,2022-04-24,12.8,2656
159247,2022-04-25,10.4,1925
161172,2022-04-26,11.5,2035
163207,2022-04-27,11.6,2083
165290,2022-04-28,8.2,2095
167385,2022-04-29,10.4,2372
169757,2022-04-30,12.9,3115
172872,2022-05-01,13.6,3163
176035,2022-05-02,12.1,1557
177592,2022-05-03,12.4,2429
180021,2022-05-04,12.0,2161
182182,2022-05-05,17.2,3108
185290,2022-05-06,14.8,886
186176,2022-05-07,10.0,577
186753,2022-05-08,10.4,1535
188288,2022-05-09,13.5,2361
190649,2022-05-10,15.4,2624
193273,2022-05-11,16.1,2699
195972,2022-05-12,17.1,2828
198800,2022-05-13,16.0,2530
201330,2022-05-14,17.9,2214
203544,2022-05-15,18.8,3361
206905,2022-05-16,20.4,2207
209112,2022-05-17,19.7,3126
212238,2022-05-18,17.8,3190
215428,2022-05-19,15.5,2407
217835,2022-05-20,15.4,2134
219969,2022-05-21,21.2,3816
223785,2022-05-22,27.8,3735
227520,2022-05-23,21.0,2942
230462,2022-05-24,17.4,2837
233299,2022-05-25,16.2,2995
236294,2022-05-26,16.4,3029
239323,2022-05-27,20.2,2251
241574,2022-05-28,20.4,2398
243972,2022-05-29,20.7,3199
247171,2022-05-30,23.3,3348
250519,2022-05-31,28.3,2835
253354,2022-06-01,17.8,2299
255653,2022-06-02,20.3,2679
258332,2022-06-03,19.5,3547
261879,2022-06-04,21.9,4245
266124,2022-06-05,20.0,4092
270216,2022-06-06,22.2,3188
273404,2022-06-07,21.8,2921
276325,2022-06-08,23.7,3538
279863,2022-06-09,24.4,3392
283255,2022-06-10,21.8,3700
286955,2022-06-11,21.8,4064
291019,2022-06-12,20.5,3016
294035,2022-06-13,24.2,3438
297473,2022-06-14,23.9,3687
301160,2022-06-15,23.3,3831
304991,2022-06-16,20.3,2804
307795,2022-06-17,25.2,3929
311724,2022-06-18,21.7,3585
315309,2022-06-19,17.3,3437
318746,2022-06-20,20.5,3811
322557,2022-06-21,22.1,2953
325510,2022-06-22,19.1,2761
328271,2022-06-23,19.2,3348
331619,2022-06-24,21.9,3798
335417,2022-06-25,25.8,4031
339448,2022-06-26,27.0,3898
343346,2022-06-27,24.3,2339
345685,2022-06-28,22.4,3609
349294,2022-06-29,23.9,3735
353029,2022-06-30,25.4,3624
356653,2022-07-01,28.1,3381
360034,2022-07-02,28.7,3288
363322,2022-07-03,26.9,2974
366296,2022-07-04,25.6,4497
370793,2022-07-05,25.9,2854
373647,2022-07-06,26.0,3451
377098,2022-07-07,24.2,3441
380539,2022-07-08,23.5,3079
383618,2022-07-09,24.7,4311
387929,2022-07-10,23.4,3784
391713,2022-07-11,24.0,3177
394890,2022-07-12,25.8,3277
398167,2022-07-13,28.9,3686
401853,2022-07-14,26.6,3687
405540,2022-07-15,26.1,3720
409260,2022-07-16,24.3,3824
413084,2022-07-17,25.7,3850
416934,2022-07-18,26.2,2378
419312,2022-07-19,28.2,3600
422912,2022-07-20,31.3,3510
426422,2022-07-21,29.8,3498
429920,2022-07-22,30.9,3469
433389,2022-07-23,30.3,3671
437060,2022-07-24,31.1,3153
440213,2022-07-25,29.8,2780
442993,2022-07-26,25.9,3522
446515,2022-07-27,25.5,3625
450140,2022-07-28,26.7,3558
453698,2022-07-29,28.2,3487
457185,2022-07-30,26.7,4175
461360,2022-07-31,26.3,3795
465155,2022-08-01,23.1,3084
468239,2022-08-02,26.4,3582
471821,2022-08-03,27.6,3830
475651,2022-08-04,29.1,3626
